,user_name,user_location,user_description,user_verified,date,text,hashtags,source,cleaned_text
0,Ronald James,,,False,2022-03-14 06:48:05,@kevinbakinz @Marino87484600 @KendrickPerkins And if thats the ONE player on that entire list that you want to point out and die on that hill...More power to you I guess.....,,Twitter Web App,kevinbakinz Marino87484600 KendrickPerkins thats player entire list want point hill More power guess
1,kimchiblock,,Algorand PermaBull. Early investor of @cryptocom @vaderprotocol & @palantirtech. I collect nfts,False,2022-03-14 06:48:05,@NFTbrum @Slothtynft Did they really just rug pull?,,Twitter for iPhone,NFTbrum Slothtynft really pull
2,HAPE Stats,,"This Account Is Non Official And Is Made To Share The Stats Of The @HAPEBEASTGANG Collections

Made By @FrYzZ_ Proud #HAPEBEAST OG",False,2022-03-14 06:48:05,"Ethereum Price: 2572.64 USD
 
 Floor Price: 1.78 ETH = 4579.3 USD
 Average Price: 6.32 ETH = 16259.08 USD
 Last 7 Days Average Price: 1.87 ETH = 4810.84 USD
 Last 7 Days Number Of Sales: 250  
 Number Of Owners: 5714 

Date: 14/03/2022 at 06:48:05 UTC  #HAPEBEASTGANG",,HAPE Stats,Ethereum Price 2572.64 Floor Price 1.78 4579.3 Average Price 6.32 16259.08 Last Days Average Price 1.87 4810.84 Last Days Number Sales Number Owners 5714 Date 14/03/2022 06:48:05 HAPEBEASTGANG
3,Madam Yvette Lafayette on NiteFlirt,,"Goddess
$yveyivy
https://t.co/nfLRsfenGV
Click link below and find me to call. 🖤",False,2022-03-14 06:48:05,"I'm taking calls on #NiteFlirt 1-800-To-Flirt, ext: 11209764. Give me a call before I become busy!",['NiteFlirt'],Niteflirt,taking call NiteFlirt 1-800-To-Flirt 11209764 Give call become busy
4,The Lucius Bot 🌷,,bot that posts quotes/other things from @LUClRAVEN !,False,2022-03-14 06:48:05,me omw to steal soldier tf2's girl,,"Cheap Bots, Done Quick!",steal soldier girl
5,Kary Banks Mullis - Inventor of PCR technique,,"Mullis passed on August 7, 2019, 7 months before Covid 19 started.",False,2022-03-14 06:48:05,"WKRC TV Cincinnati: Why millions of genetically-modified mosquitoes may soon be released in the US.
https://t.co/rWwiq6dblG

via @GoogleNews",,Twitter for Android,WKRC Cincinnati million genetically-modified mosquito soon released http //t.co/rWwiq6dblG GoogleNews
6,Chraye☀️ Team Content def not Tommy's,,Can't do it like Rae | Header by @infernalovebot,False,2022-03-14 06:48:05,"@vivianaisokay Gotta love viv, man ❤️",,Twitter for Android,vivianaisokay love
7,Mukesh Hudda,,Student,False,2022-03-14 06:48:05,@taegiveaway @tblocksw Done,,Twitter for Android,taegiveaway tblocksw Done
8,topfanscorner,,"All #NFL, #NBA, #MLB, #NHL fans are here. Join us and follow us on FB https://t.co/kV11WKZNPF !",False,2022-03-14 06:48:05,"👉  👈
NFL PRO LINE Mens Denver Broncos Von Miller Big Tall Team Color @topfanscorner 
 #PRO #LINE #Mens #DenverBroncos #Von #Miller #NFL #Football #NFLfans 

Hurry up to get it for the best price!
https://t.co/P2z2gldBkn","['PRO', 'LINE', 'Mens']",tfcnewapp,LINE Mens Denver Broncos Miller Tall Team Color topfanscorner LINE Mens DenverBroncos Miller Football NFLfans Hurry best price http //t.co/P2z2gldBkn
9,Meg,Los Angeles,(I’m walking here.) BE LIKE THE TWENTY-SECOND ELEPHANT WITH HEATED VALUE IN SPACE ~ BARK! #GonzoTheology #SocialJusticeTwitterGraffiti #OracularDistraction,False,2022-03-14 06:48:05,If you asked me who I was speaking to? I’m just gonna say: #GOD👁👈🏽”Now what?” 😂💀,['GOD'],Twitter for iPhone,asked speaking GOD👁👈🏽
